Champion Rank by counts:
         champion   count
33         Graves  0.012695
60       Malphite  0.012288
82          Riven  0.012022
105  Twisted Fate  0.011426
6           Annie  0.010882
43        Kalista  0.010758
77          Quinn  0.010729
21           Ekko  0.010707
10     Blitzcrank  0.010451
101        Thresh  0.010155
51        Kindred  0.009836
66        Morgana  0.009689
120      Xin Zhao  0.009524
80       Renekton  0.009430
26          Fiora  0.009071
118        Wukong  0.009036
18          Diana  0.009030
19      Dr. Mundo  0.009022
37         Irelia  0.008970
86          Shaco  0.008728
75       Pantheon  0.008542
98          Talon  0.008497
20         Draven  0.008134
17         Darius  0.008104
30          Garen  0.007957
76          Poppy  0.007913
113            Vi  0.007838
70        Nidalee  0.007752
16          Corki  0.007649
46       Kassadin  0.007512
104    Tryndamere  0.007459
116      Volibear  0.007338
103       Trundle  0.007066
106        Twitch  0.006997
107          Udyr  0.006772
7            Ashe  0.006753
29      Gangplank  0.006749
68          Nasus  0.006519
34        Hecarim  0.006495
22          Elise  0.006282
97     Tahm Kench  0.006175
61       Malzahar  0.006153
5          Anivia  0.006144
47       Katarina  0.006023
87           Shen  0.005943
115      Vladimir  0.005794
114        Viktor  0.005753
91          Sivir  0.005518
15       Cho'Gath  0.005494
100         Teemo  0.005226
4           Amumu  0.005168
78         Rammus  0.005155
31           Gnar  0.005035
55          Leona  0.004929
84           Ryze  0.004824
74        Orianna  0.004810
50        Kha'Zix  0.004797
93           Sona  0.004739
39      Jarvan IV  0.004726
71       Nocturne  0.004723
112       Vel'Koz  0.004684
69       Nautilus  0.004650
23        Evelynn  0.004643
58           Lulu  0.004602
88        Shyvana  0.004593
9            Bard  0.004495
36         Illaoi  0.004490
117       Warwick  0.004447
109         Varus  0.004275
111        Veigar  0.004260
2           Akali  0.004221
96         Syndra  0.004147
8            Azir  0.004133
79        Rek'Sai  0.004058
48          Kayle  0.004056
73           Olaf  0.004023
3         Alistar  0.003747
123           Zac  0.003692
41          Jayce  0.003144
12          Braum  0.003106
127          Zyra  0.003008
95          Swain  0.002944
56      Lissandra  0.002935
52        Kog'Maw  0.002928
119        Xerath  0.002663
49         Kennen  0.002641
67           Nami  0.002592
44          Karma  0.002581
38          Janna  0.002530
35   Heimerdinger  0.002243
32         Gragas  0.002204
125         Ziggs  0.002023
0          Aatrox  0.001994
126        Zilean  0.001930
45        Karthus  0.001806
83         Rumble  0.001801
90           Sion  0.001783
14     Cassiopeia  0.001767
85        Sejuani  0.001757
25   Fiddlesticks  0.001617
89         Singed  0.001583
94         Soraka  0.001459
72           Nunu  0.001288
62         Maokai  0.001247
99          Taric  0.001241
92        Skarner  0.001051
28          Galio  0.000809
122        Yorick  0.000575
65    Mordekaiser  0.000573
108         Urgot  0.000572
         champion      auth
57         Lucian  0.031927
110         Vayne  0.031484
54        Lee Sin  0.030231
101        Thresh  0.028405
64   Miss Fortune  0.026585
10     Blitzcrank  0.023031
102      Tristana  0.020419
11          Brand  0.019689
24         Ezreal  0.019087
13        Caitlyn  0.018307
42           Jinx  0.017521
66        Morgana  0.016261
121         Yasuo  0.015931
124           Zed  0.015794
27           Fizz  0.013785
59            Lux  0.013528
63      Master Yi  0.013419
81         Rengar  0.013230
40            Jax  0.013037
55          Leona  0.012796
82          Riven  0.011338
1            Ahri  0.011281
60       Malphite  0.011265
6           Annie  0.010927
3         Alistar  0.010423
33         Graves  0.010308
38          Janna  0.010302
105  Twisted Fate  0.010233
12          Braum  0.010096
21           Ekko  0.010072
9            Bard  0.009932
94         Soraka  0.009776
120      Xin Zhao  0.009610
80       Renekton  0.009601
51        Kindred  0.009195
43        Kalista  0.009191
53        LeBlanc  0.008961
77          Quinn  0.008896
19      Dr. Mundo  0.008727
69       Nautilus  0.008727
17         Darius  0.008719
93           Sona  0.008694
97     Tahm Kench  0.008517
26          Fiora  0.008374
76          Poppy  0.007876
58           Lulu  0.007868
18          Diana  0.007690
7            Ashe  0.007677
37         Irelia  0.007535
103       Trundle  0.007410
20         Draven  0.007192
87           Shen  0.007181
113            Vi  0.007063
118        Wukong  0.006986
70        Nidalee  0.006902
104    Tryndamere  0.006870
36         Illaoi  0.006809
68          Nasus  0.006736
75       Pantheon  0.006606
67           Nami  0.006467
115      Vladimir  0.006451
86          Shaco  0.006439
30          Garen  0.006346
98          Talon  0.006270
116      Volibear  0.006037
16          Corki  0.006009
78         Rammus  0.005906
107          Udyr  0.005893
22          Elise  0.005891
29      Gangplank  0.005831
31           Gnar  0.005740
4           Amumu  0.005714
46       Kassadin  0.005713
91          Sivir  0.005633
34        Hecarim  0.005331
100         Teemo  0.005251
61       Malzahar  0.005248
106        Twitch  0.005183
84           Ryze  0.005026
39      Jarvan IV  0.004947
15       Cho'Gath  0.004868
74        Orianna  0.004818
8            Azir  0.004775
114        Viktor  0.004693
5          Anivia  0.004625
112       Vel'Koz  0.004497
47       Katarina  0.004395
44          Karma  0.004157
117       Warwick  0.004096
127          Zyra  0.004005
48          Kayle  0.003999
50        Kha'Zix  0.003900
88        Shyvana  0.003879
73           Olaf  0.003818
79        Rek'Sai  0.003798
111        Veigar  0.003624
109         Varus  0.003595
23        Evelynn  0.003587
71       Nocturne  0.003555
123           Zac  0.003442
96         Syndra  0.003413
56      Lissandra  0.003333
2           Akali  0.003257
99          Taric  0.003151
126        Zilean  0.003048
52        Kog'Maw  0.002913
41          Jayce  0.002827
49         Kennen  0.002825
35   Heimerdinger  0.002822
32         Gragas  0.002802
95          Swain  0.002509
89         Singed  0.002277
25   Fiddlesticks  0.002128
90           Sion  0.002118
119        Xerath  0.002086
0          Aatrox  0.002011
83         Rumble  0.001881
72           Nunu  0.001861
85        Sejuani  0.001826
62         Maokai  0.001811
125         Ziggs  0.001803
45        Karthus  0.001793
14     Cassiopeia  0.001721
28          Galio  0.001141
92        Skarner  0.001084
122        Yorick  0.000733
65    Mordekaiser  0.000718
108         Urgot  0.000621
