Champion Rank by counts:
         champion      count
107          Udyr  0.006896
7            Ashe  0.006825
104    Tryndamere  0.006680
34        Hecarim  0.006648
61       Malzahar  0.006620
68          Nasus  0.006571
47       Katarina  0.006380
106        Twitch  0.006356
5          Anivia  0.006352
15       Cho'Gath  0.006347
115      Vladimir  0.006332
114        Viktor  0.006241
55          Leona  0.006185
4           Amumu  0.006169
93           Sona  0.006131
91          Sivir  0.005849
69       Nautilus  0.005766
9            Bard  0.005753
78         Rammus  0.005746
31           Gnar  0.005718
74        Orianna  0.005632
58           Lulu  0.005517
100         Teemo  0.005418
112       Vel'Koz  0.005318
84           Ryze  0.005228
39      Jarvan IV  0.005177
117       Warwick  0.005146
88        Shyvana  0.005130
50        Kha'Zix  0.005124
8            Azir  0.005073
111        Veigar  0.004975
36         Illaoi  0.004930
23        Evelynn  0.004923
79        Rek'Sai  0.004862
3         Alistar  0.004847
48          Kayle  0.004839
71       Nocturne  0.004834
109         Varus  0.004699
123           Zac  0.004559
73           Olaf  0.004505
12          Braum  0.004457
96         Syndra  0.004366
2           Akali  0.004258
41          Jayce  0.003889
127          Zyra  0.003873
56      Lissandra  0.003830
67           Nami  0.003828
52        Kog'Maw  0.003713
38          Janna  0.003710
44          Karma  0.003581
119        Xerath  0.003504
95          Swain  0.003487
49         Kennen  0.003436
32         Gragas  0.003201
126        Zilean  0.003167
125         Ziggs  0.003053
35   Heimerdinger  0.003038
85        Sejuani  0.002984
45        Karthus  0.002941
90           Sion  0.002854
94         Soraka  0.002844
0          Aatrox  0.002830
83         Rumble  0.002804
14     Cassiopeia  0.002696
25   Fiddlesticks  0.002650
89         Singed  0.002496
99          Taric  0.002433
62         Maokai  0.002431
72           Nunu  0.002405
92        Skarner  0.002181
28          Galio  0.001975
122        Yorick  0.001688
65    Mordekaiser  0.001686
108         Urgot  0.001642

-------------------------------------------------

Champion Rank by HITS
         champion       hub
67           Nami  0.016397
38          Janna  0.015918
12          Braum  0.015368
101        Thresh  0.014688
94         Soraka  0.014248
93           Sona  0.014113
55          Leona  0.013839
3         Alistar  0.013649
9            Bard  0.013621
10     Blitzcrank  0.013529
99          Taric  0.013162
66        Morgana  0.013027
69       Nautilus  0.012549
126        Zilean  0.012383
58           Lulu  0.012087
44          Karma  0.011613
127          Zyra  0.011307
87           Shen  0.011288
78         Rammus  0.010759
85        Sejuani  0.010703
28          Galio  0.010513
72           Nunu  0.010491
123           Zac  0.010410
39      Jarvan IV  0.010331
4           Amumu  0.010307
62         Maokai  0.010284
59            Lux  0.010088
112       Vel'Koz  0.009661
11          Brand  0.009630
97     Tahm Kench  0.009623
90           Sion  0.009261
32         Gragas  0.009191
60       Malphite  0.009181
74        Orianna  0.009011
92        Skarner  0.008911
103       Trundle  0.008880
45        Karthus  0.008861
25   Fiddlesticks  0.008756
119        Xerath  0.008506
79        Rek'Sai  0.008502
105  Twisted Fate  0.008458
116      Volibear  0.008353
56      Lissandra  0.008345
6           Annie  0.008142
54        Lee Sin  0.008077
1            Ahri  0.008056
23        Evelynn  0.008051
125         Ziggs  0.007874
19      Dr. Mundo  0.007778
89         Singed  0.007733
117       Warwick  0.007668
83         Rumble  0.007639
5          Anivia  0.007605
29      Gangplank  0.007517
34        Hecarim  0.007458
31           Gnar  0.007359
76          Poppy  0.007302
49         Kennen  0.007297
22          Elise  0.007225
113            Vi  0.007202
61       Malzahar  0.007158
48          Kayle  0.007134
21           Ekko  0.007064
95          Swain  0.007021
114        Viktor  0.006964
8            Azir  0.006923
111        Veigar  0.006902
122        Yorick  0.006887
118        Wukong  0.006866
96         Syndra  0.006805
35   Heimerdinger  0.006744
71       Nocturne  0.006700
41          Jayce  0.006662
75       Pantheon  0.006627
115      Vladimir  0.006604
88        Shyvana  0.006547
70        Nidalee  0.006495
51        Kindred  0.006487
98          Talon  0.006483
47       Katarina  0.006473
14     Cassiopeia  0.006439
46       Kassadin  0.006403
86          Shaco  0.006353
15       Cho'Gath  0.006321
18          Diana  0.006262
84           Ryze  0.006207
107          Udyr  0.006188
53        LeBlanc  0.006181
120      Xin Zhao  0.006173
73           Olaf  0.006060
80       Renekton  0.006057
100         Teemo  0.006018
121         Yasuo  0.006010
36         Illaoi  0.005988
0          Aatrox  0.005905
81         Rengar  0.005830
77          Quinn  0.005823
27           Fizz  0.005780
108         Urgot  0.005778
68          Nasus  0.005740
50        Kha'Zix  0.005609
37         Irelia  0.005486
17         Darius  0.005478
30          Garen  0.005427
24         Ezreal  0.005278
2           Akali  0.005236
124           Zed  0.005225
65    Mordekaiser  0.005181
7            Ashe  0.005105
91          Sivir  0.005095
109         Varus  0.005078
16          Corki  0.005046
26          Fiora  0.005046
64   Miss Fortune  0.004996
82          Riven  0.004833
40            Jax  0.004813
33         Graves  0.004728
52        Kog'Maw  0.004535
104    Tryndamere  0.004525
63      Master Yi  0.004501
42           Jinx  0.004319
13        Caitlyn  0.004228
106        Twitch  0.004179
57         Lucian  0.004176
43        Kalista  0.003917
20         Draven  0.003793
102      Tristana  0.003760
110         Vayne  0.003561
         champion      auth
57         Lucian  0.049447
110         Vayne  0.047236
64   Miss Fortune  0.039227
54        Lee Sin  0.034088
102      Tristana  0.032770
24         Ezreal  0.027676
42           Jinx  0.023692
13        Caitlyn  0.021250
124           Zed  0.019408
27           Fizz  0.016341
11          Brand  0.016245
121         Yasuo  0.015607
59            Lux  0.015495
63      Master Yi  0.015205
81         Rengar  0.015053
33         Graves  0.014289
1            Ahri  0.013203
43        Kalista  0.012322
40            Jax  0.012191
60       Malphite  0.011860
105  Twisted Fate  0.011468
53        LeBlanc  0.011397
82          Riven  0.011358
21           Ekko  0.010397
77          Quinn  0.010273
51        Kindred  0.009675
6           Annie  0.009632
20         Draven  0.009064
120      Xin Zhao  0.008929
80       Renekton  0.008839
19      Dr. Mundo  0.008751
26          Fiora  0.008421
118        Wukong  0.008406
17         Darius  0.008366
16          Corki  0.008352
75       Pantheon  0.008280
7            Ashe  0.008220
30          Garen  0.008184
66        Morgana  0.008165
37         Irelia  0.008145
10     Blitzcrank  0.008145
18          Diana  0.007998
101        Thresh  0.007956
106        Twitch  0.007677
113            Vi  0.007590
29      Gangplank  0.007502
116      Volibear  0.007358
46       Kassadin  0.007354
70        Nidalee  0.007167
86          Shaco  0.007130
76          Poppy  0.007049
98          Talon  0.007043
103       Trundle  0.006812
91          Sivir  0.006798
104    Tryndamere  0.006411
107          Udyr  0.006313
87           Shen  0.006196
61       Malzahar  0.006111
34        Hecarim  0.006106
68          Nasus  0.006101
22          Elise  0.006062
47       Katarina  0.005943
5          Anivia  0.005817
114        Viktor  0.005771
97     Tahm Kench  0.005768
115      Vladimir  0.005640
15       Cho'Gath  0.005591
4           Amumu  0.005314
31           Gnar  0.005162
74        Orianna  0.005078
109         Varus  0.005035
78         Rammus  0.004965
100         Teemo  0.004685
84           Ryze  0.004483
39      Jarvan IV  0.004408
88        Shyvana  0.004397
8            Azir  0.004367
50        Kha'Zix  0.004360
117       Warwick  0.004287
36         Illaoi  0.004240
112       Vel'Koz  0.004183
111        Veigar  0.004178
58           Lulu  0.004178
71       Nocturne  0.004117
48          Kayle  0.004110
23        Evelynn  0.004062
79        Rek'Sai  0.004015
69       Nautilus  0.003986
93           Sona  0.003959
73           Olaf  0.003829
55          Leona  0.003810
9            Bard  0.003648
96         Syndra  0.003639
52        Kog'Maw  0.003636
123           Zac  0.003599
2           Akali  0.003522
41          Jayce  0.003197
3         Alistar  0.002964
56      Lissandra  0.002908
119        Xerath  0.002605
95          Swain  0.002588
12          Braum  0.002453
49         Kennen  0.002438
127          Zyra  0.002341
44          Karma  0.002263
125         Ziggs  0.002138
32         Gragas  0.002103
35   Heimerdinger  0.002095
67           Nami  0.002002
45        Karthus  0.001937
85        Sejuani  0.001915
0          Aatrox  0.001890
38          Janna  0.001885
83         Rumble  0.001817
90           Sion  0.001772
126        Zilean  0.001755
14     Cassiopeia  0.001711
25   Fiddlesticks  0.001498
