champion,picks,wins,win_rate,bans,ban_rate,pick_rate,ban_rate_z,win_rate_z,perceived_minus_actual,quadrant
Aatrox,4850,2405,0.49587628865979383,1095,0.004917988610028206,0.0021782871925695706,-0.36763873901025107,-0.023373856949386804,-0.34426488206086425,fair
Jinx,33556,16637,0.4957980688997497,824,0.0037008425704687137,0.01507105258430196,-0.3783498802098237,-0.026634366955475865,-0.3517155132543478,fair
Kalista,16635,8257,0.49636308987075445,1411,0.00633724377054776,0.007471300504823671,-0.35514899502846164,-0.003082050653664229,-0.3520669443747974,fair
Twitch,9850,4887,0.4961421319796954,200,0.0008982627598225032,0.004423944092125829,-0.4030131721232309,-0.012292452402734324,-0.3907207197204966,fair
Braum,22119,11002,0.4974004249740043,868,0.0038984603776296644,0.009934336992256975,-0.37661080193387836,0.04015819301245452,-0.4167689949463329,sleeper
Xerath,5329,2651,0.4974666916869957,155,0.0006961536388624401,0.00239342112354706,-0.4047917749054477,0.042920452582891414,-0.4477122274883391,sleeper
Gangplank,14813,7562,0.5104975359481536,13204,0.059303307403481664,0.00665298313062537,0.11096350743117002,0.586097753015974,-0.475134245584804,overpowered
Heimerdinger,6807,3409,0.5008079917731747,1555,0.006983992957619963,0.00305723730305589,-0.34945746612536766,0.18219909979667237,-0.53165656592204,sleeper
Morgana,35065,17613,0.5022957364893769,2946,0.013231410452185474,0.01574879183658804,-0.29447887790173094,0.24421420353703946,-0.5386930814387704,sleeper
Graves,21702,11411,0.5258040733572943,26960,0.12108582002407345,0.009747049206833983,0.6546626157017282,1.2241349747221468,-0.5694723590204186,overpowered
Galio,2509,1256,0.5005978477481068,361,0.0016213642814796184,0.0011268706321973304,-0.39664972661352166,0.17343946289587886,-0.5700891895094005,sleeper
Draven,13227,6637,0.5017766689347547,701,0.003148410973177874,0.0059406607620861255,-0.3832113944812165,0.2225774079916819,-0.6057888024728983,sleeper
Master Yi,27359,14071,0.5143097335428927,13066,0.05868350609920414,0.012287785422991934,0.10550912556570502,0.745005277097138,-0.639496151531433,overpowered
Quinn,17058,8843,0.5184077852034236,16509,0.07414709950954854,0.0076612830785261305,0.24159200065843053,0.9158283330243436,-0.6742363323659131,overpowered
