champion,bucket,picks,win_rate,ban_rate,ban_win_salience_residual
Annie,mid,11867,0.49962079716861885,0.030083079039740356,-0.2778602964562583
Ashe,mid,6209,0.4963762280560477,0.000820207080239183,-0.39411425947492035
Azir,mid,4932,0.4588402270884023,0.004215688003809994,1.1067066810553072
Bard,mid,9733,0.46224185759786296,0.005723810699733653,0.9858098441022664
Blitzcrank,mid,23635,0.5281997038290671,0.03929056497274796,-1.3224002159818944
Brand,mid,20481,0.5349836433767883,0.2665761205087048,0.3030476783412228
Braum,mid,11459,0.5037961427698752,0.0038981884888786974,-0.6595858649733298
Caitlyn,mid,18400,0.47304347826086957,0.012391300513290883,0.6175454086178565
Cassiopeia,mid,1700,0.47705882352941176,0.0007672904944173002,0.3632798321288464
Cho'Gath,mid,6054,0.49074991740997687,0.007787557546787081,-0.11540454685725812
Corki,mid,6176,0.5046955958549223,0.0032631894590161043,-0.7001567871090846
Darius,mid,10012,0.491410307630843,0.18519923094561938,1.3351983345061988
Diana,mid,8203,0.4964037547238815,0.019385109272749723,-0.24068756479975534
Dr. Mundo,mid,11052,0.5457835685848715,0.6952357433898365,3.446883499967879
Draven,mid,6486,0.4862781375269812,0.0020813857089940556,0.012536648253926252
Ekko,mid,10393,0.46896949870104876,0.012320745065528372,0.7767831090063096
Elise,mid,6013,0.47613504074505236,0.013123313283826928,0.5023535617133614
Evelynn,mid,3533,0.5114633455986414,0.006429365177358756,-0.9393095336824749
Ezreal,mid,21982,0.4925393503775817,0.0033425643377489283,-0.2225986800111771
Fiddlesticks,mid,2293,0.4635848233754906,0.0013317340765173831,0.8965713114003914
Fiora,mid,9825,0.5010687022900764,0.20851780643112908,1.1503622342464765
Fizz,mid,15060,0.5086321381142098,0.07753161766002857,-0.23649019451324432
Galio,mid,1252,0.4904153354632588,0.0016315947295080522,-0.15351173897978435
Gangplank,mid,7311,0.5085487621392423,0.047245691707971,-0.48527422145656485
Garen,mid,8466,0.5199622017481691,0.09009930679272574,-0.5763813276846885
Gnar,mid,6967,0.48557485287785274,0.003959924505670894,0.05576112570259795
Gragas,mid,3366,0.44028520499108736,0.0015345809888346004,1.8123188672065909
Graves,mid,10781,0.5209164270475837,0.12096731518882402,-0.35691690580191227
Hecarim,mid,6046,0.4961958319550116,0.005106450531811688,-0.3513648977840404
Heimerdinger,mid,3007,0.5001662786830728,0.0027075653078863352,-0.527092881718707
Illaoi,mid,7075,0.4535689045936396,0.3341506006032491,4.059390737321214
Irelia,mid,9357,0.5025114887250187,0.04779249642813046,-0.24387722514880983
Janna,mid,14406,0.5440094405108983,0.003792355317234932,-2.2380607933023704
Jarvan IV,mid,5965,0.4853310980720872,0.002248954897430018,0.05108422546551472
Jax,mid,14306,0.49888158814483435,0.6307568835658723,4.750253099048704
