champion,bucket,picks,win_rate,ban_rate,perceived_minus_actual
Ryze,low,2436,0.409688013136289,0.004474448543841746,2.7571461501204184
Sejuani,low,1867,0.5061596143545796,0.0021194756260303005,-0.8070002532673135
Shaco,low,4336,0.49169741697416974,0.014035638590156213,-0.16852646699693996
Shen,low,5276,0.510235026535254,0.005965931391788994,-0.9220191297721276
Shyvana,low,3655,0.5097127222982216,0.006217128503022216,-0.9005745110149678
Singed,low,1443,0.5183645183645184,0.0016955805008242405,-1.2590455510720961
Sion,low,1686,0.5195729537366548,0.0009262893476725017,-1.3103557161876642
Sivir,low,3852,0.4657320872274143,0.0008006907920558913,0.6658252634894881
Skarner,low,1015,0.5182266009852217,0.002606170029044666,-1.245777392010038
Sona,low,5846,0.5292507697570988,0.00313996389041526,-1.6458326169768482
Soraka,low,7414,0.4979768006474238,0.2774629091765445,1.9739702727983326
Swain,low,2019,0.516097077761268,0.0038778554046628466,-1.1561142994261473
Syndra,low,1798,0.4694104560622914,0.001460083209043096,0.5366769104995435
Tahm Kench,low,6617,0.5070273537857035,0.3111704215401523,1.9452447033956604
Talon,low,3009,0.5041542040545032,0.0068451212811052676,-0.6907799162631669
Taric,low,2469,0.5342243823410288,0.001412983750686867,-1.8440468043213087
Teemo,low,5051,0.48445852306473963,0.012230159353167439,0.08105798279252191
Thresh,low,15029,0.4754141992148513,0.007645812073161159,0.37191339056067396
Tristana,low,13659,0.48912804744124755,0.010377580657822435,-0.10711999343166737
Trundle,low,4908,0.5336185819070904,0.030237852264698956,-1.5621273301622944
Tryndamere,low,6842,0.519584916691026,0.1820394065468247,0.3207784857265912
Twisted Fate,low,4338,0.49538958045182113,0.002700368945757124,-0.4062364045204218
Twitch,low,2838,0.485553206483439,0.0008163906115079677,-0.06196634612055907
Udyr,low,5813,0.5238259074488216,0.011398068922207395,-1.37221001147298
Urgot,low,508,0.4625984251968504,0.0019153779731533088,0.7909511451346742
Varus,low,2917,0.478573877271169,0.00048669440301436534,0.19138028024070441
Vayne,low,17256,0.48962679647658786,0.07217207002119476,0.43124451248469386
Veigar,low,3599,0.46457349263684355,0.0629405761833739,1.2681674486146939
Vel'Koz,low,2608,0.5279907975460123,0.0010204882643849596,-1.6186534662670102
Vi,low,5151,0.49776742380120365,0.0168930057304341,-0.3657073696458404
Viktor,low,2425,0.4936082474226804,0.0026846691263050474,-0.340958163120796
Vladimir,low,4123,0.49041959738054813,0.005447837349870477,-0.19896235264260695
Volibear,low,6686,0.5367932994316482,0.023031635136195935,-1.7436370664417529
Warwick,low,4446,0.5107962213225371,0.004254651071512678,-0.9580452975616692
Wukong,low,4891,0.5256593743610714,0.006688123086584504,-1.4819742731960726
Xerath,low,1356,0.5051622418879056,0.0007535913336996625,-0.7826763162582508
